"problem_label","problem_name","submissions","accepted_submissions","teams_with_accepted_submission"
"A","수앞C","32","26","25"
"B","분탕의 신 안녕원","16","2","2"
"C","공 넣기","80","24","24"
"D","Regulating Bracket Sequence","12","1","1"
"E","K분 그래프 3","9","2","2"
"F","122333","45","25","25"
"G","쌀 가져가기와 쿼리","6","2","2"
"H","README","36","24","24"
"I","책 정렬","57","4","4"
"J","트리 뽑아내기","28","15","15"
"K","술 푸는 사람","43","23","20"
"L","정투상도","59","24","23"
"M","쌀 재배하기와 쿼리","76","13","13"
"N","매직 쌀 2","8","1","1"
